SKU,Brand,Product Name,Price,Quantity,Category,Description,Tags,Aisle,Bay
10000,Life Savers,"Life Savers Gummy Candy, Collisions, Share Size, 4.2 oz, 15-count",$25.69 ,24,Candy,"Gummies Collisions
2 flavors in 1
Flavors: Raspberry-Lemonade, Cherry-Watermelon and Pineapple-Punch
4.2 oz package
15-count","Candy, Snacks",1,2
10001,Kit Kat,"Kit Kat Big Kat, King Size, 3.0 oz, 16-count",$31.99 ,0,Candy,"Big Kat
King size
Crisp wafers in milk chocolate
The classic combination of crisp wafers draped in milk chocolate to make a super-sized treat
Net Weight 3 lb
3.0 oz
16-count","Candy, Chocolate, Snacks",1,3
10002,Tic Tac,"Tic Tac, Freshmint, 1 oz, 12-count",$13.49 ,23,Candy,"Enjoy the original minty taste of Tic Tac Freshmints. Each 1-oz pack is filled with small white mints ready to boost your confidence and refresh your day. Plus, buying 12 packs at once means more vanilla-flavored breath mints to share and enjoy. With 100 layers of refreshing and delicious flavor, each pill in this pack of Tic Tac Freshmints is ready to refresh any moment. The portable pack fits perfectly in your pocket or purse for on-the-go sharing and refreshment. These gluten-free breath mints are refreshing and GMO-free! Tic Tac is an iconic brand of beloved mints. Whether you enjoy one or the whole pack, you've got a variety of flavors and sizes to choose from. Take a ride on a Tic Tac.   REFRESHING MINTS â€“ Each mint in this pack of Tic Tac Freshmints has 100 layers of flavor and is refreshing and delicious. Youâ€™ll receive 12 1-oz packs full of white breath mints you can easily share with others
TIC TAC FRESHMINTS â€“ Tic Tac is the most-loved taste with a vanilla outside and refreshing mint inside. These gluten-free breath mints are refreshing and GMO-free
BOOST YOUR CONFIDENCE â€“ Each pill is ready to refresh any moment. Enjoy them as after-dinner mints or give them as breath mint gifts
MINTS ON-THE-GO â€“ The portable pack fits perfectly in your pocket or purseâ€”great for on-the-go sharing and refreshment, like mints for after coffee","Mints, Candy",1,1
10003,Baby Ruth,"Baby Ruth, 1.9 oz, 24-count",$26.99 ,17,Candy,"It's time to get your sweet treat on with Baby Ruth Full Size candy bars. These peanuty, chocolatey and perfectly sized bars are just for you and big on taste. Packed with dry roasted peanuts, rich caramel and smooth nougat, these individually wrapped candy treats are easy to snack on and enjoy. Take these irresistible chocolate bars anywhere and share with anyone. They're great for home or the office, parties, get-togethers, dessert or a movie night sweet treat. Baby Ruth is made with no artificial flavors or colors. Baby Ruth Full Size candy bars are the treat everyone knows and loves.   UNWRAP DELICIOUSNESS: Baby Ruth delivers the taste you know and love with this peanuty candy bar
THE TASTE YOU LOVE: Everyone's favorite classic Baby Ruth candy bar with dry roasted peanuts, rich caramel and smooth nougat that's full size and definitely big on taste
ANYTIME IS THE RIGHT TIME: Wherever you go, these delicious Full Size chocolate candy bars make the perfect treat for yourself, a kid's backpack snack or even a sweet gaming go-to candy
TREAT YOURSELF: Grab a bar of this chocolate and treat yourself, friends, family or coworkers to a treat that can't be beat
ONE SNACK TREATS ALL: From Fun Size to Minis to Full Size fun, discover your favorite candy in a variety of sizes that will bring a smile to your taste budsâ€”whether you're sharing, baking or treating yourself","Chocolate, Candy, Snacks",1,2
10004,Godiva,Godiva Dark Chocolate Ganache Hearts 14.8 oz 4-pack,$54.99 ,17,Candy,"GODIVA Masterpieces â€“ GODIVAâ€™s most exquisite chocolates now available in delightful individually wrapped mini chocolates, perfect to enjoy anytime.   GODIVAâ€™s Dark Chocolate Ganache Heart is inspired by GODIVAâ€™s most beloved chocolate; the heart-shaped â€˜coeur iconiqueâ€™. A bold dark chocolate Heart with a luxurious, velvety chocolate ganache filling.   Includes:   Godiva Dark Chocolate Ganache Hearts
14.8 oz per bag, 4-Pack","Chocolate, Candy, Snacks",1,3
10005,Tide,"Tide Ultra Concentrated Liquid Laundry Detergent, 152 Loads, 170 fl oz",$24.99 ,20,Cleaning Supplies,"Formula made with 100% renewable wind power electricity
Cleans in cold water
100% recyclable bottle","Detergent, Household cleaners",2,1
10006,Swiffer,"Swiffer Duster Heavy Duty Dusting Kit, 1 Handle + 17 Refills",$15.99 ,23,Cleaning Supplies,"TRAP + LOCK: 360 degrees of specially coated fibers grab onto dust & don't let go. They are uniquely designed to Trap + Lock dust from every direction.
VERSATILITY: Can be used virtually anywhere and fits into tight spaces.
FLEXIBILTY: Gets into hard-to-reach places.
â€¢ 1 Handle
â€¢ 17 Refills",Household cleaners,2,2
10007,Gain,"Gain Ultra Concentrated +AromaBoost HE Liquid Laundry Detergent, Original, 159 Loads, 208 fl oz",$19.49 ,11,Cleaning Supplies,"Ultra concentrated
Cleans in cold water
Formula made with 100% renewable wind power electricity
Free of phosphates
159 Loads
208 fl oz","Detergent, Household cleaners",2,3
10008,Dawn,"Dawn Platinum Advanced Power Liquid Dish Soap, 90 fl oz",$12.09 ,21,Cleaning Supplies,Get your dishes clean with Dawn Dish Soap,"Soap, Detergent, Household Cleaners",2,1
10009,Cascade,"Cascade Platinum Plus Dishwasher Detergent Pacs, Fresh, 81-count",$19.99 ,20,Cleaning Supplies,"Cabinet ready dishes
2x scrubbing power","Detergent, Household cleaners",2,2
10010,Bounty,"Bounty Advanced Paper Towels, 2-Ply, 101 Sheets, 12-count",$29.99 ,6,Paper & Plastic Products,"12 rolls, 101 2-ply Select-a-Size sheets per roll
12 individually wrapped rolls
656 total Sq. Ft.
11â€ x 7.1â€ sheet size
FSC Certified
For every tree used to make Bounty, at least 2 are regrown
Made in America   â€‹â€‹",Cleaning supplies,3,3
10011,Charmin,"Charmin Ultra Strong Bath Tissue, 2-Ply, 220 Sheets, 30 Rolls",$29.99 ,22,Paper & Plastic Products,"30 rolls, 220 2-ply Ultra Strong sheets per roll
825 total Sq Ft
Wide Sheets! 4.5â€ x 4.0â€ sheet size
FSC Certified
Septic Safe
For every tree used to make Charmin, at least 2 are regrown
Made in America   â€‹â€‹â€‹â€‹â€‹â€‹â€‹",Bathroom,3,1
10012,Kleenex,"Kleenex Trusted Care Facial Tissue, 2-ply, 230-count, 10-pack",$18.49 ,14,Paper & Plastic Products,Kleenex brand facial tissue,Bathroom,3,2
10013,Kirkland Signature,"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",$22.99 ,13,Paper & Plastic Products,"â€‹Two strong, thick and absorbent layers
Create-a-Size: half or whole sheets
â€‹Sustainable Forestry Initiative certified","Kitchen, Cleaning supplies",3,3
10014,Cottonelle,"Cottonelle Ultra Clean Bath Tissue, 1-Ply, 312 Sheets, 36 Rolls",$31.99 ,21,Paper & Plastic Products,Cottonelle bath tissue,Bathroom,3,1
10015,Knott's,"Knott's Bite Size Cookies, Strawberry Shortbread, 2 oz, 36-count",$13.19 ,6,Snacks,Premium Bite-Size Cookies,"Desserts, Snacks",4,2
10016,Milano,"Milano Cookies, Double Dark Chocolate, 0.98 oz, 30-count",$13.99 ,15,Snacks,"Sandwich Cookies
The perfect balance of crisp cookies and rich, luxurious chocolate for a truly indulgent treat
2X the chocolate as Classic Dark Chocolate Milano
Net Weight 29.4 oz","Desserts, Snacks",4,3
10017,Popchips,"Popchips Potato Chips, Variety Pack, 0.8 oz, 30-count",$16.99 ,8,Snacks,"0.8 oz bag
30 - count
Popchips
Variety pack: 12-Sea Salt, 12-Barbeque, 6-Sour Cream & Onion
No synthetic colors
No cholesterol
0 grams trans fat","Chips, snacks",4,1
10018,Kellogg,"Kellogg's Rice Krispies Treats, Variety Pack, 60-count",$16.99 ,3,Snacks,"Variety Pack: 20- Chocolate, 20-Rainbow, 20- Chocolately Drizzle","Desserts, Snacks",4,2
10019,Honey Maid,"Honey Maid Graham Crackers 14.4 oz, 4-count",$10.99 ,24,Snacks,No High Fructose Corn Syrup,"Desserts, Snacks",4,3
