Sub Category,Price,Title,Product Description,Brand,Tags
Candy,$25.69 ,"Life Savers Gummy Candy, Collisions, Share Size, 4.2 oz, 15-count","Gummies Collisions
2 flavors in 1
Flavors: Raspberry-Lemonade, Cherry-Watermelon and Pineapple-Punch
4.2 oz package
15-count",Life Savers,"Candy, Snacks"
Candy,$31.99 ,"Kit Kat Big Kat, King Size, 3.0 oz, 16-count","Big Kat
King size
Crisp wafers in milk chocolate
The classic combination of crisp wafers draped in milk chocolate to make a super-sized treat
Net Weight 3 lb
3.0 oz
16-count",Kit Kat,"Candy, Chocolate, Snacks"
Candy,$13.49 ,"Tic Tac, Freshmint, 1 oz, 12-count","Enjoy the original minty taste of Tic Tac Freshmints. Each 1-oz pack is filled with small white mints ready to boost your confidence and refresh your day. Plus, buying 12 packs at once means more vanilla-flavored breath mints to share and enjoy. With 100 layers of refreshing and delicious flavor, each pill in this pack of Tic Tac Freshmints is ready to refresh any moment. The portable pack fits perfectly in your pocket or purse for on-the-go sharing and refreshment. These gluten-free breath mints are refreshing and GMO-free! Tic Tac is an iconic brand of beloved mints. Whether you enjoy one or the whole pack, you've got a variety of flavors and sizes to choose from. Take a ride on a Tic Tac.   REFRESHING MINTS â€“ Each mint in this pack of Tic Tac Freshmints has 100 layers of flavor and is refreshing and delicious. Youâ€™ll receive 12 1-oz packs full of white breath mints you can easily share with others
TIC TAC FRESHMINTS â€“ Tic Tac is the most-loved taste with a vanilla outside and refreshing mint inside. These gluten-free breath mints are refreshing and GMO-free
BOOST YOUR CONFIDENCE â€“ Each pill is ready to refresh any moment. Enjoy them as after-dinner mints or give them as breath mint gifts
MINTS ON-THE-GO â€“ The portable pack fits perfectly in your pocket or purseâ€”great for on-the-go sharing and refreshment, like mints for after coffee",Tic Tac,"Mints, Candy"
Candy,$26.99 ,"Baby Ruth, 1.9 oz, 24-count","It's time to get your sweet treat on with Baby Ruth Full Size candy bars. These peanuty, chocolatey and perfectly sized bars are just for you and big on taste. Packed with dry roasted peanuts, rich caramel and smooth nougat, these individually wrapped candy treats are easy to snack on and enjoy. Take these irresistible chocolate bars anywhere and share with anyone. They're great for home or the office, parties, get-togethers, dessert or a movie night sweet treat. Baby Ruth is made with no artificial flavors or colors. Baby Ruth Full Size candy bars are the treat everyone knows and loves.   UNWRAP DELICIOUSNESS: Baby Ruth delivers the taste you know and love with this peanuty candy bar
THE TASTE YOU LOVE: Everyone's favorite classic Baby Ruth candy bar with dry roasted peanuts, rich caramel and smooth nougat that's full size and definitely big on taste
ANYTIME IS THE RIGHT TIME: Wherever you go, these delicious Full Size chocolate candy bars make the perfect treat for yourself, a kid's backpack snack or even a sweet gaming go-to candy
TREAT YOURSELF: Grab a bar of this chocolate and treat yourself, friends, family or coworkers to a treat that can't be beat
ONE SNACK TREATS ALL: From Fun Size to Minis to Full Size fun, discover your favorite candy in a variety of sizes that will bring a smile to your taste budsâ€”whether you're sharing, baking or treating yourself",Baby Ruth,"Chocolate, Candy, Snacks"
Candy,$54.99 ,Godiva Dark Chocolate Ganache Hearts 14.8 oz 4-pack,"GODIVA Masterpieces â€“ GODIVAâ€™s most exquisite chocolates now available in delightful individually wrapped mini chocolates, perfect to enjoy anytime.   GODIVAâ€™s Dark Chocolate Ganache Heart is inspired by GODIVAâ€™s most beloved chocolate; the heart-shaped â€˜coeur iconiqueâ€™. A bold dark chocolate Heart with a luxurious, velvety chocolate ganache filling.   Includes:   Godiva Dark Chocolate Ganache Hearts
14.8 oz per bag, 4-Pack",Godiva,"Chocolate, Candy, Snacks"
Cleaning Supplies,$24.99 ,"Tide Ultra Concentrated Liquid Laundry Detergent, 152 Loads, 170 fl oz","Formula made with 100% renewable wind power electricity
Cleans in cold water
100% recyclable bottle",Tide,"Detergent, Household cleaners"
Cleaning Supplies,$15.99 ,"Swiffer Duster Heavy Duty Dusting Kit, 1 Handle + 17 Refills","TRAP + LOCK: 360 degrees of specially coated fibers grab onto dust & don't let go. They are uniquely designed to Trap + Lock dust from every direction.
VERSATILITY: Can be used virtually anywhere and fits into tight spaces.
FLEXIBILTY: Gets into hard-to-reach places.
â€¢ 1 Handle
â€¢ 17 Refills",Swiffer,Household cleaners
Cleaning Supplies,$19.49 ,"Gain Ultra Concentrated +AromaBoost HE Liquid Laundry Detergent, Original, 159 Loads, 208 fl oz","Ultra concentrated
Cleans in cold water
Formula made with 100% renewable wind power electricity
Free of phosphates
159 Loads
208 fl oz",Gain,"Detergent, Household cleaners"
Cleaning Supplies,$12.09 ,"Dawn Platinum Advanced Power Liquid Dish Soap, 90 fl oz","Get your dishes clean with Dawn Dish Soap",Dawn,"Soap, Detergent, Household Cleaners"
Cleaning Supplies,$19.99 ,"Cascade Platinum Plus Dishwasher Detergent Pacs, Fresh, 81-count","Cabinet ready dishes
2x scrubbing power",Cascade,"Detergent, Household cleaners"
Paper & Plastic Products,$29.99 ,"Bounty Advanced Paper Towels, 2-Ply, 101 Sheets, 12-count","12 rolls, 101 2-ply Select-a-Size sheets per roll
12 individually wrapped rolls
656 total Sq. Ft.
11â€ x 7.1â€ sheet size
FSC Certified
For every tree used to make Bounty, at least 2 are regrown
Made in America   â€‹â€‹",Bounty,Cleaning supplies
Paper & Plastic Products,$29.99 ,"Charmin Ultra Strong Bath Tissue, 2-Ply, 220 Sheets, 30 Rolls","30 rolls, 220 2-ply Ultra Strong sheets per roll
825 total Sq Ft
Wide Sheets! 4.5â€ x 4.0â€ sheet size
FSC Certified
Septic Safe
For every tree used to make Charmin, at least 2 are regrown
Made in America   â€‹â€‹â€‹â€‹â€‹â€‹â€‹",Charmin,Bathroom
